SelectionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 4397000
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1000, T[ns] = 8858600
std::sort Algorithm, Random Uniform Data, N = 1000, T[ns] = 222200
std::sort Algorithm, Ascending Data, N = 1000, T[ns] = 82500
std::sort Algorithm, Descending Data, N = 1000, T[ns] = 73000
std::sort Algorithm, Constant Data, N = 1000, T[ns] = 94200
SelectionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 2672600
SelectionSort Algorithm, Ascending Data, N = 1000, T[ns] = 2676400
SelectionSort Algorithm, Descending Data, N = 1000, T[ns] = 2683400
SelectionSort Algorithm, Constant Data, N = 1000, T[ns] = 2567700
InsertionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 3022900
InsertionSort Algorithm, Ascending Data, N = 1000, T[ns] = 7300
InsertionSort Algorithm, Descending Data, N = 1000, T[ns] = 5764000
InsertionSort Algorithm, Constant Data, N = 1000, T[ns] = 7500
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1000, T[ns] = 583900
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1000, T[ns] = 9199400
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1000, T[ns] = 7016000
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1000, T[ns] = 8836800
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1000, T[ns] = 619100
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1000, T[ns] = 8811300
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1000, T[ns] = 6950500
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1000, T[ns] = 8966300
std::sort Algorithm, Random Uniform Data, N = 1000, T[ns] = 196500
std::sort Algorithm, Ascending Data, N = 1000, T[ns] = 88600
std::sort Algorithm, Descending Data, N = 1000, T[ns] = 74900
std::sort Algorithm, Constant Data, N = 1000, T[ns] = 105900
SelectionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 4555400
SelectionSort Algorithm, Ascending Data, N = 1000, T[ns] = 2632800
SelectionSort Algorithm, Descending Data, N = 1000, T[ns] = 2646400
SelectionSort Algorithm, Constant Data, N = 1000, T[ns] = 2614100
InsertionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 2957600
InsertionSort Algorithm, Ascending Data, N = 1000, T[ns] = 11300
InsertionSort Algorithm, Descending Data, N = 1000, T[ns] = 5681300
InsertionSort Algorithm, Constant Data, N = 1000, T[ns] = 7900
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1000, T[ns] = 601300
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1000, T[ns] = 8767300
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1000, T[ns] = 7236100
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1000, T[ns] = 8955900
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1000, T[ns] = 594400
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1000, T[ns] = 8752300
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1000, T[ns] = 6950200
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1000, T[ns] = 9185100
std::sort Algorithm, Random Uniform Data, N = 1000, T[ns] = 163900
std::sort Algorithm, Ascending Data, N = 1000, T[ns] = 81100
std::sort Algorithm, Descending Data, N = 1000, T[ns] = 80300
std::sort Algorithm, Constant Data, N = 1000, T[ns] = 94300
SelectionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 2634400
SelectionSort Algorithm, Ascending Data, N = 1000, T[ns] = 2708200
SelectionSort Algorithm, Descending Data, N = 1000, T[ns] = 2707500
SelectionSort Algorithm, Constant Data, N = 1000, T[ns] = 2572300
InsertionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 2745300
InsertionSort Algorithm, Ascending Data, N = 1000, T[ns] = 11500
InsertionSort Algorithm, Descending Data, N = 1000, T[ns] = 5723400
InsertionSort Algorithm, Constant Data, N = 1000, T[ns] = 7400
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1000, T[ns] = 602800
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1000, T[ns] = 30287000
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1000, T[ns] = 9864900
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1000, T[ns] = 8836000
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1000, T[ns] = 702700
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1000, T[ns] = 9143700
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1000, T[ns] = 6846700
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1000, T[ns] = 8741400
std::sort Algorithm, Random Uniform Data, N = 1000, T[ns] = 195400
std::sort Algorithm, Ascending Data, N = 1000, T[ns] = 125300
std::sort Algorithm, Descending Data, N = 1000, T[ns] = 82300
std::sort Algorithm, Constant Data, N = 1000, T[ns] = 100100
SelectionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 2643600
SelectionSort Algorithm, Ascending Data, N = 1000, T[ns] = 2570400
SelectionSort Algorithm, Descending Data, N = 1000, T[ns] = 2676700
SelectionSort Algorithm, Constant Data, N = 1000, T[ns] = 2648200
InsertionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 2822100
InsertionSort Algorithm, Ascending Data, N = 1000, T[ns] = 11900
InsertionSort Algorithm, Descending Data, N = 1000, T[ns] = 5764800
InsertionSort Algorithm, Constant Data, N = 1000, T[ns] = 12600
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1000, T[ns] = 586400
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1000, T[ns] = 8968700
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1000, T[ns] = 7089200
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1000, T[ns] = 8852200
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1000, T[ns] = 577100
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1000, T[ns] = 8832600
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1000, T[ns] = 6743000
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1000, T[ns] = 9485200
std::sort Algorithm, Random Uniform Data, N = 1000, T[ns] = 186700
std::sort Algorithm, Ascending Data, N = 1000, T[ns] = 81200
std::sort Algorithm, Descending Data, N = 1000, T[ns] = 85100
std::sort Algorithm, Constant Data, N = 1000, T[ns] = 94200
SelectionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 3274400
SelectionSort Algorithm, Ascending Data, N = 1000, T[ns] = 2584200
SelectionSort Algorithm, Descending Data, N = 1000, T[ns] = 2638700
SelectionSort Algorithm, Constant Data, N = 1000, T[ns] = 2622700
InsertionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 3063200
InsertionSort Algorithm, Ascending Data, N = 1000, T[ns] = 11100
InsertionSort Algorithm, Descending Data, N = 1000, T[ns] = 5727600
InsertionSort Algorithm, Constant Data, N = 1000, T[ns] = 7500
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1000, T[ns] = 734600
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1000, T[ns] = 8856800
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1000, T[ns] = 6849500
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1000, T[ns] = 8827300
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1000, T[ns] = 622000
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1000, T[ns] = 8997300
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1000, T[ns] = 6803900
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1000, T[ns] = 8746500
std::sort Algorithm, Random Uniform Data, N = 1000, T[ns] = 170400
std::sort Algorithm, Ascending Data, N = 1000, T[ns] = 86700
std::sort Algorithm, Descending Data, N = 1000, T[ns] = 81300
std::sort Algorithm, Constant Data, N = 1000, T[ns] = 93900
SelectionSort Algorithm, Random Uniform Data, N = 1500, T[ns] = 6028200
SelectionSort Algorithm, Ascending Data, N = 1500, T[ns] = 5889700
SelectionSort Algorithm, Descending Data, N = 1500, T[ns] = 5947300
SelectionSort Algorithm, Constant Data, N = 1500, T[ns] = 6345100
InsertionSort Algorithm, Random Uniform Data, N = 1500, T[ns] = 6615100
InsertionSort Algorithm, Ascending Data, N = 1500, T[ns] = 17400
InsertionSort Algorithm, Descending Data, N = 1500, T[ns] = 12886900
InsertionSort Algorithm, Constant Data, N = 1500, T[ns] = 12700
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1500, T[ns] = 1125100
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1500, T[ns] = 19860000
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1500, T[ns] = 14937200
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1500, T[ns] = 19931000
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1500, T[ns] = 1031700
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1500, T[ns] = 19852900
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1500, T[ns] = 16218100
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1500, T[ns] = 19348900
std::sort Algorithm, Random Uniform Data, N = 1500, T[ns] = 279000
std::sort Algorithm, Ascending Data, N = 1500, T[ns] = 138900
std::sort Algorithm, Descending Data, N = 1500, T[ns] = 122600
std::sort Algorithm, Constant Data, N = 1500, T[ns] = 158100
SelectionSort Algorithm, Random Uniform Data, N = 1500, T[ns] = 5900600
SelectionSort Algorithm, Ascending Data, N = 1500, T[ns] = 6699100
SelectionSort Algorithm, Descending Data, N = 1500, T[ns] = 5987500
SelectionSort Algorithm, Constant Data, N = 1500, T[ns] = 6738400
InsertionSort Algorithm, Random Uniform Data, N = 1500, T[ns] = 6590500
InsertionSort Algorithm, Ascending Data, N = 1500, T[ns] = 16200
InsertionSort Algorithm, Descending Data, N = 1500, T[ns] = 13120400
InsertionSort Algorithm, Constant Data, N = 1500, T[ns] = 11400
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1500, T[ns] = 1037700
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1500, T[ns] = 19720100
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1500, T[ns] = 14797000
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1500, T[ns] = 19623400
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1500, T[ns] = 1406300
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1500, T[ns] = 40417800
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1500, T[ns] = 16052600
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1500, T[ns] = 19384300
std::sort Algorithm, Random Uniform Data, N = 1500, T[ns] = 271400
std::sort Algorithm, Ascending Data, N = 1500, T[ns] = 156700
std::sort Algorithm, Descending Data, N = 1500, T[ns] = 124300
std::sort Algorithm, Constant Data, N = 1500, T[ns] = 159300
SelectionSort Algorithm, Random Uniform Data, N = 1500, T[ns] = 5890000
SelectionSort Algorithm, Ascending Data, N = 1500, T[ns] = 5952200
SelectionSort Algorithm, Descending Data, N = 1500, T[ns] = 8995900
SelectionSort Algorithm, Constant Data, N = 1500, T[ns] = 5894500
InsertionSort Algorithm, Random Uniform Data, N = 1500, T[ns] = 7566600
InsertionSort Algorithm, Ascending Data, N = 1500, T[ns] = 10700
InsertionSort Algorithm, Descending Data, N = 1500, T[ns] = 13394900
InsertionSort Algorithm, Constant Data, N = 1500, T[ns] = 15500
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1500, T[ns] = 1062900
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1500, T[ns] = 20516800
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1500, T[ns] = 15068800
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1500, T[ns] = 19307100
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1500, T[ns] = 1015800
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1500, T[ns] = 19596300
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1500, T[ns] = 15192200
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1500, T[ns] = 19576100
std::sort Algorithm, Random Uniform Data, N = 1500, T[ns] = 245000
std::sort Algorithm, Ascending Data, N = 1500, T[ns] = 197400
std::sort Algorithm, Descending Data, N = 1500, T[ns] = 265600
std::sort Algorithm, Constant Data, N = 1500, T[ns] = 190700
SelectionSort Algorithm, Random Uniform Data, N = 1500, T[ns] = 5884500
SelectionSort Algorithm, Ascending Data, N = 1500, T[ns] = 5934900
SelectionSort Algorithm, Descending Data, N = 1500, T[ns] = 5923200
SelectionSort Algorithm, Constant Data, N = 1500, T[ns] = 6022100
InsertionSort Algorithm, Random Uniform Data, N = 1500, T[ns] = 6426200
InsertionSort Algorithm, Ascending Data, N = 1500, T[ns] = 10500
InsertionSort Algorithm, Descending Data, N = 1500, T[ns] = 13119000
InsertionSort Algorithm, Constant Data, N = 1500, T[ns] = 10400
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1500, T[ns] = 1270500
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1500, T[ns] = 19334500
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1500, T[ns] = 15103100
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1500, T[ns] = 19221300
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1500, T[ns] = 1017400
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1500, T[ns] = 19749900
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1500, T[ns] = 14767400
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1500, T[ns] = 19578300
std::sort Algorithm, Random Uniform Data, N = 1500, T[ns] = 256300
std::sort Algorithm, Ascending Data, N = 1500, T[ns] = 192000
std::sort Algorithm, Descending Data, N = 1500, T[ns] = 132900
std::sort Algorithm, Constant Data, N = 1500, T[ns] = 180000
SelectionSort Algorithm, Random Uniform Data, N = 1500, T[ns] = 5935900
SelectionSort Algorithm, Ascending Data, N = 1500, T[ns] = 5912000
SelectionSort Algorithm, Descending Data, N = 1500, T[ns] = 5946400
SelectionSort Algorithm, Constant Data, N = 1500, T[ns] = 5888500
InsertionSort Algorithm, Random Uniform Data, N = 1500, T[ns] = 6255400
InsertionSort Algorithm, Ascending Data, N = 1500, T[ns] = 10500
InsertionSort Algorithm, Descending Data, N = 1500, T[ns] = 12910100
InsertionSort Algorithm, Constant Data, N = 1500, T[ns] = 10100
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1500, T[ns] = 955000
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1500, T[ns] = 19708400
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1500, T[ns] = 16096300
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1500, T[ns] = 19352600
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1500, T[ns] = 948400
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1500, T[ns] = 19694100
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1500, T[ns] = 14396700
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1500, T[ns] = 19457100
std::sort Algorithm, Random Uniform Data, N = 1500, T[ns] = 248800
std::sort Algorithm, Ascending Data, N = 1500, T[ns] = 146300
std::sort Algorithm, Descending Data, N = 1500, T[ns] = 120200
std::sort Algorithm, Constant Data, N = 1500, T[ns] = 196500
SelectionSort Algorithm, Random Uniform Data, N = 1500, T[ns] = 5955200
SelectionSort Algorithm, Ascending Data, N = 1500, T[ns] = 5818300
SelectionSort Algorithm, Descending Data, N = 1500, T[ns] = 5959500
SelectionSort Algorithm, Constant Data, N = 1500, T[ns] = 5875200
InsertionSort Algorithm, Random Uniform Data, N = 1500, T[ns] = 6446300
InsertionSort Algorithm, Ascending Data, N = 1500, T[ns] = 10400
InsertionSort Algorithm, Descending Data, N = 1500, T[ns] = 12940000
InsertionSort Algorithm, Constant Data, N = 1500, T[ns] = 10300
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1500, T[ns] = 976400
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1500, T[ns] = 19643600
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1500, T[ns] = 15113700
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1500, T[ns] = 19892700
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1500, T[ns] = 987500
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1500, T[ns] = 20626000
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1500, T[ns] = 15450100
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1500, T[ns] = 19917200
std::sort Algorithm, Random Uniform Data, N = 1500, T[ns] = 476400
std::sort Algorithm, Ascending Data, N = 1500, T[ns] = 197900
std::sort Algorithm, Descending Data, N = 1500, T[ns] = 123900
std::sort Algorithm, Constant Data, N = 1500, T[ns] = 167300
SelectionSort Algorithm, Random Uniform Data, N = 1500, T[ns] = 7215400
SelectionSort Algorithm, Ascending Data, N = 1500, T[ns] = 5732600
SelectionSort Algorithm, Descending Data, N = 1500, T[ns] = 6306400
SelectionSort Algorithm, Constant Data, N = 1500, T[ns] = 5775800
InsertionSort Algorithm, Random Uniform Data, N = 1500, T[ns] = 6513400
InsertionSort Algorithm, Ascending Data, N = 1500, T[ns] = 22400
InsertionSort Algorithm, Descending Data, N = 1500, T[ns] = 12852900
InsertionSort Algorithm, Constant Data, N = 1500, T[ns] = 11300
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1500, T[ns] = 979200
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1500, T[ns] = 19446900
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1500, T[ns] = 14599500
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1500, T[ns] = 19332200
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1500, T[ns] = 1091300
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1500, T[ns] = 19344300
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1500, T[ns] = 14869800
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1500, T[ns] = 19069000
std::sort Algorithm, Random Uniform Data, N = 1500, T[ns] = 282600
std::sort Algorithm, Ascending Data, N = 1500, T[ns] = 207700
std::sort Algorithm, Descending Data, N = 1500, T[ns] = 119000
std::sort Algorithm, Constant Data, N = 1500, T[ns] = 183000
SelectionSort Algorithm, Random Uniform Data, N = 1500, T[ns] = 5870400
SelectionSort Algorithm, Ascending Data, N = 1500, T[ns] = 6703000
SelectionSort Algorithm, Descending Data, N = 1500, T[ns] = 5907300
SelectionSort Algorithm, Constant Data, N = 1500, T[ns] = 6317000
InsertionSort Algorithm, Random Uniform Data, N = 1500, T[ns] = 6328500
InsertionSort Algorithm, Ascending Data, N = 1500, T[ns] = 11300
InsertionSort Algorithm, Descending Data, N = 1500, T[ns] = 12863000
InsertionSort Algorithm, Constant Data, N = 1500, T[ns] = 11700
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 1500, T[ns] = 1035600
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 1500, T[ns] = 19354400
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 1500, T[ns] = 14662900
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 1500, T[ns] = 19359700
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 1500, T[ns] = 1417300
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 1500, T[ns] = 19329400
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 1500, T[ns] = 14773100
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 1500, T[ns] = 19174600
std::sort Algorithm, Random Uniform Data, N = 1500, T[ns] = 241300
